D_ID,CURRENCY,CHARGE_VALUE
381811145,USD,4590
381811145,USD,270
381811145,USD,650
381812474,USD,-468
381812474,USD,512
381812474,USD,143
381812474,USD,3080
381664943,USD,4414
381664943,USD,268
381664943,USD,-539
381664943,USD,574
381664943,USD,59
381669239,USD,549
381669239,USD,51
381669239,USD,185
381669239,USD,4622
381669239,USD,-523
381812001,USD,513
381812001,USD,156
381812001,USD,-503
381812001,USD,3083
381682724,USD,442
381682724,USD,-395
381682724,USD,107
381682724,USD,3144
381812350,USD,643
381658590,USD,3236
381658590,USD,157
381658590,USD,-380
381658590,USD,436
381658590,USD,32
381683309,USD,-420
381683309,USD,143
381683309,USD,3507
381683309,USD,441
381658566,USD,3239
381658566,USD,24
381658566,USD,440
381658566,USD,-396
381658566,USD,150
381687339,USD,503
381687339,USD,-466
381687339,USD,196
381687339,USD,3946
381657307,USD,14
381657307,USD,566
381657307,USD,-525
381657307,USD,185
381657307,USD,4028
381811679,USD,624
381811679,USD,-589
381811679,USD,191
381810213,USD,3834
381811679,USD,3826
381810213,USD,245
381810213,USD,-585
381810213,USD,598
381669227,USD,-513
381669227,USD,4038
381669227,USD,208
381669227,USD,578
381669227,USD,62
381682611,USD,-455
381682611,USD,498
381682611,USD,4049
381682611,USD,194
381664942,USD,4396
381810212,USD,-604
381810212,USD,264
381810212,USD,3842
381810212,USD,650
381687040,USD,3916
381687040,USD,486
381687040,USD,-455
381687040,USD,159
381655037,USD,57
381683960,USD,528
381683960,USD,-480
381683960,USD,401
381683960,USD,4093
381810450,USD,648
381810450,USD,-582
381810450,USD,227
381810450,USD,3843
381815325,USD,3076
381815325,USD,217
381815325,USD,-413
381815325,USD,505
381682560,USD,520
381682560,USD,-489
381682560,USD,179
381682560,USD,4076
381813964,USD,3803
381813964,USD,402
381813964,USD,-570
381813964,USD,614
381669209,USD,13
381669209,USD,582
381669209,USD,-530
381669209,USD,191
381669209,USD,4022
381669249,USD,3229
381669249,USD,141
381669249,USD,-338
381669249,USD,379
381669249,USD,25
381664970,USD,53
381664970,USD,585
381664970,USD,-531
381664970,USD,223
381664970,USD,4385
381657090,USD,164
381657090,USD,16
381657090,USD,429
381657090,USD,-387
381657090,USD,3218
381821015,USD,141
381821015,USD,543
381821015,USD,-502
381821015,USD,3047
381657300,USD,120
381657300,USD,-326
381657300,USD,361
381657300,USD,39
381657236,USD,4021
381657236,USD,53
381657236,USD,552
381657236,USD,-536
381657236,USD,166
381684545,USD,3523
381684545,USD,182
381684545,USD,-406
381684545,USD,476
381682937,USD,3943
381682937,USD,-445
381682937,USD,515
381682937,USD,163
381669228,USD,141
381669228,USD,-387
381669228,USD,458
381669228,USD,7
381810741,USD,3821
381810741,USD,251
381810741,USD,-576
381669228,USD,3250
381810741,USD,604
381669988,USD,11
381669988,USD,416
381669988,USD,151
381669988,USD,3212
381669988,USD,-371
381812012,USD,4577
381812012,USD,226
381812012,USD,-600
381812012,USD,615
381658564,USD,52
381658564,USD,572
381658564,USD,-503
381658564,USD,176
381658564,USD,4058
375627043,USD,87
375627043,USD,91
375627043,CNY,1010
375627043,HKD,3089
381811651,USD,521
381811651,USD,-484
381811651,USD,132
381811651,USD,3090
381815346,USD,539
381815346,USD,3069
381815346,USD,209
381815346,USD,-488
381813965,USD,3836
381813965,USD,422
381654688,USD,595
381813965,USD,-596
381654688,USD,4611
381654688,USD,221
381654688,USD,-505
381813965,USD,633
381654688,USD,17
381659253,USD,17
381659253,USD,414
381659253,USD,-365
381659253,USD,227
381659253,USD,3951
381655037,USD,553
