D_ID,CREATED,ORIGIN_PID,DESTINATION_PID,VALID_FROM,VALID_TO,COMPANY_ID,SUPPLIER_ID,EQUIPMENT_ID
374820218,2021-03-15T14:07:32.651Z,912,308,2021-03-15,2021-03-31,2469,1023,4
386650836,2021-05-05T17:28:32.621Z,191,308,2021-05-01,2021-05-14,3564,53,1
374820619,2021-03-15T14:07:32.651Z,796,678,2021-03-15,2021-03-31,2469,1023,4
377441159,2021-04-09T12:44:32.524Z,218,723,2021-04-01,2021-04-30,4023,40,2
383374456,2021-04-23T12:13:28.648Z,266,504,2021-04-15,2021-04-30,2548,53,2
375961268,2021-03-18T12:07:48.494Z,504,191,2021-03-05,2021-03-31,4023,40,4
378344603,2021-03-31T07:40:51.544Z,638,529,2021-03-01,2021-03-31,2469,68,4
375862651,2021-03-17T20:32:06.540Z,736,638,2021-03-15,2021-03-31,1817,38,4
374205125,2021-03-11T13:41:25.636Z,681,806,2021-04-01,2021-04-30,2455,1023,1
385834151,2021-05-05T17:37:11.170Z,898,54,2021-04-15,2021-04-30,3564,48,1
380185129,2021-04-10T04:57:57.644Z,736,308,2021-04-01,2021-04-14,3564,68,1
373084839,2021-03-04T19:15:04.702Z,585,191,2021-03-01,2021-03-31,621,249,1
372051715,2021-02-26T10:17:05.498Z,688,218,2021-02-12,2021-02-28,4023,53,1
374209049,2021-03-11T13:41:25.642Z,504,723,2021-04-01,2021-04-30,2455,1023,1
370304295,2021-02-16T14:49:52.109Z,736,587,2021-02-08,2021-02-28,4023,40,4
384281801,2021-04-28T16:37:32.843Z,796,308,2021-04-15,2021-04-30,1817,52,2
377251668,2021-03-24T16:49:51.384Z,191,681,2021-03-15,2021-03-31,1817,48,4
374910196,2021-03-15T21:49:48.474Z,796,585,2021-03-01,2021-03-31,3564,249,1
387451836,2021-05-11T17:58:16.718Z,688,218,2021-05-01,2021-05-14,3709,68,1
374178850,2021-03-11T10:42:25.603Z,806,638,2021-03-15,2021-03-31,2455,1023,4
373188589,2021-03-05T13:10:45.794Z,638,736,2021-03-01,2021-03-31,2469,52,2
373190995,2021-03-05T13:10:45.801Z,504,585,2021-03-01,2021-03-31,2469,52,1
385869439,2021-05-05T17:37:11.168Z,191,218,2021-04-15,2021-04-30,3564,43,1
372053338,2021-02-26T10:17:05.498Z,585,587,2021-02-12,2021-02-28,4023,53,2
382656841,2021-04-21T10:49:19.563Z,723,504,2021-04-15,2021-04-30,2469,1023,1
377450443,2021-03-25T14:35:40.323Z,806,54,2021-02-15,2021-02-28,2469,89,1
377436253,2021-03-25T13:48:54.353Z,191,638,2021-03-12,2021-03-31,4023,40,1
387817251,2021-05-12T11:54:15.585Z,796,218,2021-05-06,2021-05-14,4023,40,2
376243952,2021-03-19T11:24:41.790Z,796,504,2021-02-15,2021-02-28,2469,38,2
375337124,2021-03-15T23:10:35.898Z,191,218,2021-03-01,2021-03-14,3564,48,4
387278813,2021-05-11T11:01:17.295Z,723,638,2021-05-01,2021-05-14,2455,48,2
378819592,2021-04-02T00:45:24.718Z,308,781,2021-04-01,2021-04-02,3564,82,2
373475104,2021-03-06T18:08:15.748Z,638,806,2021-03-01,2021-03-31,3123,52,1
384229812,2021-04-28T08:05:33.090Z,191,54,2021-04-15,2021-04-30,2455,1023,2
374151612,2021-03-11T09:53:04.012Z,898,638,2021-03-01,2021-03-14,2455,48,2
381813993,2021-04-16T12:21:10.902Z,723,504,2021-03-15,2021-03-31,3709,38,1
381189583,2021-05-04T19:19:35.962Z,529,587,2021-04-01,2021-04-14,3564,53,1
384279615,2021-04-28T16:37:32.848Z,898,638,2021-04-15,2021-04-30,1817,52,2
375023860,2021-03-15T23:16:55.357Z,723,218,2021-03-01,2021-03-14,3564,38,1
377436064,2021-03-25T13:48:54.354Z,266,504,2021-03-12,2021-03-31,4023,40,1
387267015,2021-05-11T08:59:39.098Z,781,678,2021-05-01,2021-05-31,2469,38,4
380125805,2021-05-04T19:30:27.428Z,218,806,2021-04-01,2021-04-02,3564,68,2
386633638,2021-05-05T17:28:32.851Z,585,191,2021-05-01,2021-05-31,3564,249,4
374184737,2021-03-11T10:42:25.606Z,585,587,2021-03-15,2021-03-31,2455,1023,2
384618190,2021-04-30T10:15:43.052Z,736,504,2021-04-15,2021-04-30,2469,89,1
379752013,2021-04-08T22:22:46.226Z,587,764,2021-04-01,2021-04-30,2666,52,1
375868596,2021-03-17T20:30:44.824Z,529,54,2021-03-01,2021-03-31,1817,38,2
383370733,2021-04-23T12:13:28.648Z,796,218,2021-04-15,2021-04-30,2548,53,4
387452079,2021-05-11T17:58:16.718Z,191,218,2021-05-01,2021-05-14,3709,68,2
384230427,2021-04-28T08:05:33.086Z,191,308,2021-04-15,2021-04-30,2455,1023,1
385698570,2021-05-04T18:36:25.139Z,912,308,2021-04-15,2021-04-30,3564,43,2
372050947,2021-02-26T10:17:05.498Z,781,638,2021-02-12,2021-02-28,4023,53,1
381684951,2021-04-16T10:05:26.131Z,529,504,2021-04-01,2021-04-14,4023,53,4
377937090,2021-03-30T09:54:48.586Z,191,681,2021-03-15,2021-03-31,2469,48,4
371415619,2021-03-02T13:02:34.434Z,723,218,2021-02-10,2021-02-28,3564,38,1
378552065,2021-04-01T23:22:32.726Z,796,308,2021-03-01,2021-03-31,3564,68,4
374823958,2021-03-15T14:13:07.362Z,912,54,2021-03-15,2021-03-31,2469,1023,4
378819630,2021-04-02T00:45:24.718Z,308,585,2021-04-01,2021-04-02,3564,82,4
372207798,2021-03-01T09:26:52.692Z,796,504,2021-03-01,2021-03-14,2469,1023,2
375642972,2021-03-17T10:34:57.814Z,736,54,2021-02-14,2021-02-28,2469,68,1
385869036,2021-05-05T17:37:11.168Z,191,587,2021-04-15,2021-04-30,3564,48,4
381210191,2021-05-05T17:37:10.992Z,723,587,2021-04-01,2021-06-30,3564,190,1
373673711,2021-03-08T20:11:04.782Z,587,912,2021-03-01,2021-03-31,3709,38,2
377251379,2021-03-24T16:49:51.383Z,266,638,2021-03-15,2021-03-31,1817,48,1
378844793,2021-04-10T04:44:50.319Z,736,638,2021-03-15,2021-03-31,3564,43,2
375959224,2021-03-18T12:07:15.822Z,681,736,2021-03-04,2021-03-31,4023,40,4
375862889,2021-03-17T20:30:44.818Z,723,638,2021-03-01,2021-03-31,1817,38,1
385754235,2021-05-04T18:55:01.222Z,898,587,2021-04-01,2021-04-14,3564,190,4
385849623,2021-05-12T17:16:06.273Z,681,191,2021-04-13,2021-04-14,3564,40,2
387997727,2021-05-12T16:56:34.146Z,796,678,2021-05-10,2021-05-14,3564,40,2
387817573,2021-05-12T11:54:15.585Z,781,218,2021-05-06,2021-05-14,4023,40,2
376248558,2021-03-19T11:25:42.060Z,266,681,2021-03-01,2021-03-14,2469,38,1
387354654,2021-05-11T13:06:39.479Z,764,54,2021-05-01,2021-05-14,2455,1023,4
381124859,2021-04-15T14:42:17.489Z,266,54,2021-03-31,2021-04-14,4023,40,2
370888632,2021-02-19T11:45:47.555Z,587,898,2021-02-15,2021-03-15,4023,43,2
370878012,2021-02-19T09:12:13.422Z,191,587,2021-02-08,2021-02-28,4023,53,2
385834101,2021-05-05T17:37:11.170Z,898,638,2021-04-13,2021-04-30,3564,53,1
374968578,2021-03-15T23:26:17.102Z,736,308,2021-03-01,2021-03-31,3564,190,1
387861184,2021-05-12T13:18:29.349Z,529,504,2021-05-01,2021-05-14,2548,53,2
385425889,2021-05-04T14:31:26.200Z,898,529,2021-05-01,2021-05-31,621,249,4
375957445,2021-03-18T12:06:47.068Z,796,681,2021-02-26,2021-03-14,4023,40,4
386622598,2021-05-05T17:28:32.660Z,764,585,2021-05-01,2021-05-31,3564,249,2
372051512,2021-02-26T10:17:05.498Z,736,54,2021-02-12,2021-02-28,4023,53,4
375962814,2021-03-18T12:06:47.068Z,266,504,2021-02-26,2021-03-14,4023,40,1
380291892,2021-04-12T14:14:38.512Z,723,529,2021-04-01,2021-06-30,2084,1023,4
386749537,2021-05-05T22:42:54.708Z,266,504,2021-05-01,2021-05-31,1817,38,4
385121650,2021-05-03T13:12:25.006Z,736,504,2021-04-14,2021-04-30,4023,40,1
387866374,2021-05-12T14:18:25.558Z,806,54,2021-05-01,2021-05-14,2548,1023,1
371878064,2021-02-25T11:59:36.595Z,898,218,2021-02-15,2021-02-28,4023,52,2
384825195,2021-04-30T14:18:36.510Z,723,638,2021-04-15,2021-04-30,1817,48,1
374179203,2021-03-11T10:42:25.609Z,796,504,2021-03-15,2021-03-31,2455,1023,2
375337122,2021-03-15T23:10:35.898Z,191,218,2021-03-01,2021-03-14,3564,190,2
381815913,2021-04-16T12:21:10.904Z,585,587,2021-03-15,2021-03-31,3709,38,2
370939946,2021-03-02T13:07:20.560Z,806,308,2021-02-15,2021-02-28,3564,190,1
381195508,2021-05-04T18:55:01.099Z,266,54,2021-04-01,2021-04-14,3564,40,4
375038103,2021-03-15T23:16:55.355Z,266,218,2021-03-01,2021-03-14,3564,38,2
375322214,2021-04-01T23:41:44.807Z,681,191,2021-02-05,2021-02-06,3564,190,2
387236741,2021-05-10T18:04:31.432Z,504,806,2021-05-01,2021-05-31,2666,52,4
380195342,2021-04-10T04:57:57.661Z,308,191,2021-05-01,2021-05-02,3564,38,1
387242799,2021-05-10T18:04:31.422Z,54,585,2021-05-01,2021-05-31,2666,52,1
387811907,2021-05-12T11:51:49.301Z,764,681,2021-05-01,2021-05-09,4023,40,1
378843620,2021-04-10T05:05:23.268Z,781,681,2021-03-15,2021-03-31,3564,40,1
381176438,2021-05-04T18:55:01.100Z,898,681,2021-04-01,2021-04-14,3564,40,1
372372797,2021-03-01T22:11:17.163Z,638,723,2021-02-15,2021-02-28,3709,38,2
372638274,2021-03-02T13:22:12.321Z,736,638,2021-03-01,2021-03-14,2469,48,1
377443008,2021-04-09T12:44:32.531Z,54,764,2021-04-01,2021-04-30,4023,40,4
387280741,2021-05-11T11:23:29.954Z,898,308,2021-03-15,2022-03-31,3770,52,2
383370734,2021-04-23T12:13:28.647Z,796,218,2021-04-15,2021-04-30,2548,53,2
378839698,2021-04-10T04:44:50.288Z,912,218,2021-03-15,2021-03-31,3564,40,2
376376975,2021-03-19T12:36:28.187Z,912,587,2021-03-01,2021-03-14,4202,1023,2
384216539,2021-04-28T08:05:33.090Z,806,638,2021-04-15,2021-04-30,2455,1023,4
381181780,2021-05-04T18:55:01.100Z,723,638,2021-04-01,2021-04-14,3564,190,2
375625051,2021-03-16T19:11:24.847Z,723,308,2021-03-15,2021-03-31,2469,53,1
385865348,2021-05-05T17:37:11.167Z,266,54,2021-04-15,2021-04-30,3564,48,4
379158207,2021-04-06T15:53:59.460Z,806,681,2021-04-01,2021-04-14,1817,48,4
380194900,2021-04-10T04:57:57.659Z,308,806,2021-05-01,2021-05-02,3564,1023,4
387998308,2021-05-12T16:56:33.944Z,796,308,2021-05-01,2021-05-14,3564,82,4
375608830,2021-03-16T19:05:37.065Z,898,504,2021-03-01,2021-03-14,2469,53,2
373357265,2021-03-06T17:21:09.269Z,796,587,2021-03-01,2021-03-14,1817,52,1
385897547,2021-05-05T17:37:11.151Z,191,218,2021-04-01,2021-06-30,3564,190,2
384223663,2021-04-28T08:05:33.095Z,585,504,2021-04-15,2021-04-30,2455,1023,4
382863247,2021-04-22T10:16:05.860Z,266,587,2021-04-06,2021-04-14,4023,53,2
381011577,2021-04-15T12:10:53.194Z,898,681,2021-04-15,2021-04-30,2455,48,2
375959222,2021-03-18T12:09:38.987Z,681,736,2021-03-08,2021-03-31,4023,40,4
378561069,2021-04-01T23:22:32.733Z,529,308,2021-03-01,2021-03-31,3564,40,2
373086815,2021-03-04T19:15:04.710Z,529,688,2021-03-01,2021-03-31,621,249,4
387264031,2021-05-11T08:56:48.773Z,912,308,2021-04-15,2021-04-30,2469,38,1
375333783,2021-03-15T23:10:35.897Z,266,587,2021-03-01,2021-03-14,3564,190,4
381685156,2021-04-16T10:05:26.130Z,529,218,2021-04-01,2021-04-14,4023,53,4
373476188,2021-03-06T18:08:15.752Z,504,736,2021-03-01,2021-03-31,3123,52,1
381657078,2021-04-16T08:31:06.852Z,806,638,2021-04-01,2021-04-14,3709,1023,1
372051711,2021-02-26T10:17:05.498Z,688,218,2021-02-12,2021-02-28,4023,53,4
374767382,2021-03-15T09:06:53.183Z,266,678,2021-02-23,2021-02-28,4023,40,4
385845115,2021-05-05T17:37:11.171Z,723,218,2021-04-15,2021-04-30,3564,43,2
373189081,2021-03-05T13:10:45.797Z,587,912,2021-03-01,2021-03-31,2469,52,4
374166606,2021-03-11T10:30:11.752Z,529,504,2021-03-01,2021-03-14,2455,1023,4
374209114,2021-03-11T13:41:25.645Z,504,585,2021-04-01,2021-04-30,2455,1023,1
378840576,2021-04-10T05:05:23.268Z,898,218,2021-03-15,2021-03-31,3564,40,4
375563197,2021-03-16T18:29:36.607Z,781,504,2021-03-01,2021-03-31,2548,38,4
376380502,2021-03-19T12:36:28.186Z,764,638,2021-03-01,2021-03-14,4202,1023,4
378616131,2021-04-01T23:35:07.009Z,736,308,2021-03-15,2021-03-31,3564,53,1
373355513,2021-03-06T17:21:09.282Z,912,54,2021-03-01,2021-03-14,1817,52,2
377450323,2021-03-25T14:35:40.323Z,266,504,2021-02-15,2021-02-28,2469,89,1
372371597,2021-03-01T22:11:17.165Z,681,796,2021-02-15,2021-02-28,3709,38,4
374831035,2021-03-15T14:13:07.361Z,585,504,2021-03-15,2021-03-31,2469,1023,1
375622971,2021-03-16T19:10:49.497Z,585,308,2021-03-01,2021-03-14,2469,53,4
381181816,2021-05-04T18:55:01.100Z,723,587,2021-04-01,2021-04-14,3564,53,2
377943012,2021-03-30T10:18:35.475Z,764,587,2021-04-01,2021-04-14,2469,1023,4
387860409,2021-05-12T13:18:29.348Z,585,638,2021-05-01,2021-05-14,2548,53,2
381664543,2021-04-16T08:31:06.859Z,529,308,2021-04-01,2021-04-14,3709,1023,4
