EQUIPMENT_ID,ORIGIN_PID,DESTINATION_PID,VALID_FROM,VALID_TO,avg_price,median_price,dq_ok
1,796,54,2021-03-15,2021-03-31,710.3582112016202,201.91395211488955,True
1,796,587,2021-03-15,2021-03-31,707.4423649931769,206.94413932094636,True
1,796,308,2021-04-01,2021-04-14,600.9443973780268,127.80244819898353,True
4,764,681,2021-04-01,2021-04-14,899.0999999999999,211.125,False
1,764,308,2021-04-01,2021-04-14,570.3791666666666,102.58333333333333,False
4,912,504,2021-04-01,2021-04-14,952.6647674705238,211.52671338088925,True
4,912,587,2021-03-15,2021-03-31,898.9809523809524,270.5,True
4,912,638,2021-04-01,2021-04-14,897.7621996122803,252.53369011963798,True
1,191,678,2021-04-01,2021-04-14,659.447619047619,101.3,False
4,191,54,2021-03-15,2021-03-31,940.4443452380953,279.34375,True
4,585,638,2021-04-01,2021-04-14,914.8398268398269,282.54545454545456,True
1,266,587,2021-04-01,2021-04-14,704.3514401024682,199.89590980653205,True
1,898,218,2021-03-15,2021-03-31,719.3476333599873,224.24706633279322,True
2,764,681,2021-04-01,2021-04-14,897.3875,219.0,False
2,796,54,2021-04-01,2021-04-14,898.45192124959,254.5625,True
1,529,504,2021-04-01,2021-04-14,775.8734441995405,204.45423178054085,True
2,912,587,2021-04-01,2021-04-14,837.8621779949993,222.55769837762767,True
4,898,308,2021-04-01,2021-04-14,773.5278437424492,189.90004754810283,True
4,806,587,2021-04-01,2021-04-14,876.3794639553907,243.79923240293482,True
1,764,218,2021-04-01,2021-04-14,686.4819973364284,175.79192774097203,True
4,723,638,2021-04-01,2021-04-14,957.7172543195983,388.9610366920529,True
1,912,587,2021-03-15,2021-03-31,685.4519863864675,188.456574974223,True
2,736,504,2021-03-15,2021-03-31,992.3428571428573,264.2857142857143,True
2,898,504,2021-04-01,2021-04-14,991.4874117363335,218.68744374069163,True
1,638,796,2021-04-01,2021-06-30,317.3,301.5,False
2,764,638,2021-04-01,2021-04-14,917.0404761904762,235.92857142857142,True
4,912,638,2021-03-15,2021-03-31,914.3928571428571,293.0,True
1,781,218,2021-03-15,2021-03-31,725.4046775978287,198.3597705587911,True
4,688,218,2021-04-01,2021-04-14,816.9109453349593,223.0350935336574,False
4,764,54,2021-04-01,2021-04-14,834.3218667819731,193.51393612252014,True
4,796,638,2021-03-15,2021-03-31,946.6678571428572,291.96875,True
4,912,54,2021-03-15,2021-03-31,948.987037037037,293.8888888888889,True
1,585,218,2021-03-15,2021-03-31,754.0642857142858,262.0,True
2,781,504,2021-03-15,2021-03-31,1031.6555555555556,251.0,True
1,736,54,2021-04-01,2021-04-14,701.8274112215237,235.37375973947232,True
2,266,54,2021-04-01,2021-04-14,897.8728542809104,251.53086169049357,True
1,585,504,2021-03-15,2021-03-31,831.1405980680541,238.61863491906658,True
2,781,504,2021-04-01,2021-04-14,955.8594094679929,218.82669033505562,True
1,781,681,2021-03-15,2021-03-31,890.2375,258.625,False
4,191,587,2021-04-01,2021-04-14,912.872634852083,253.64021618537421,True
4,266,308,2021-04-15,2021-04-30,767.278347369658,164.7227470123942,False
1,218,736,2021-04-01,2021-04-02,483.75,483.75,False
4,585,796,2021-05-01,2021-05-31,249.875,231.75,False
4,736,781,2021-05-01,2021-05-31,250.16666666666666,225.5,False
1,723,54,2021-04-01,2021-04-14,738.8963000598076,304.4814484975602,True
2,191,54,2021-03-15,2021-03-16,1067.5,405.0,False
4,638,266,2021-03-15,2021-03-16,507.0,507.0,False
1,529,764,2021-05-01,2021-05-31,162.25,186.0,False
4,781,54,2021-03-01,2021-03-14,982.737495154015,292.5702607158639,True
1,266,587,2021-04-15,2021-04-30,703.7661810367456,198.938174786826,True
1,529,723,2021-05-01,2021-05-31,197.875,185.5,False
2,736,218,2021-04-15,2021-04-30,992.4456349206349,311.4583333333333,True
1,266,218,2021-03-01,2021-04-30,373.25,295.5,False
1,218,191,2021-04-01,2021-04-30,168.31666666666666,123.91666666666667,True
2,898,504,2021-04-13,2021-04-30,1202.25,323.5,False
2,266,723,2021-05-01,2021-05-31,402.25,294.5,False
2,912,736,2021-05-01,2021-05-31,449.41666666666663,232.25,False
1,796,723,2021-05-01,2021-05-31,226.5,193.5,False
4,266,218,2021-05-01,2021-05-31,814.8333333333334,419.0,False
1,638,764,2021-04-01,2021-04-30,278.625,207.5,False
4,764,681,2021-05-01,2021-05-31,854.0,419.5,False
1,266,218,2021-05-01,2021-05-31,725.3333333333334,320.0,False
1,587,736,2021-03-30,2021-06-30,415.0,415.0,False
2,796,638,2021-04-15,2021-04-30,958.8910256410256,275.61538461538464,True
1,796,218,2021-04-15,2021-04-30,717.6733662032101,206.57136177766506,True
1,781,681,2021-05-01,2021-05-31,736.6666666666666,332.0,False
2,898,504,2021-05-01,2021-05-31,1015.5,433.0,False
4,806,308,2021-05-01,2021-05-14,782.6535115599642,184.72604881762254,True
2,723,781,2021-05-01,2021-05-31,228.0,228.25,False
4,723,587,2021-04-13,2021-04-30,1176.25,454.5,False
2,218,796,2021-04-01,2021-04-30,218.81111111111113,153.5,True
2,806,638,2021-04-09,2021-04-30,1069.0,430.0,False
4,796,54,2021-04-15,2021-04-30,911.8801080267579,254.5510290201921,True
4,529,806,2021-05-01,2021-05-31,246.33333333333334,226.0,False
4,898,638,2021-04-09,2021-04-30,1071.0,429.5,False
2,638,723,2021-04-01,2021-04-30,434.9999134743644,439.4666928487615,True
2,54,736,2021-04-01,2021-04-30,569.3292571319464,420.74095507520934,True
2,898,638,2021-03-01,2021-04-30,476.5,399.5,False
2,585,218,2021-05-01,2021-05-31,855.0,444.0,False
4,806,218,2021-04-15,2021-04-30,964.2890873015873,279.1666666666667,True
2,266,54,2021-04-15,2021-04-30,904.6257027205318,253.53125,True
2,585,638,2021-05-01,2021-05-31,829.8333333333334,417.0,False
4,736,638,2021-04-09,2021-04-30,1049.5,456.0,False
1,529,796,2021-05-01,2021-05-31,163.5,185.0,False
1,585,638,2021-04-13,2021-04-30,902.25,342.0,False
4,912,638,2021-04-15,2021-04-30,975.692596409114,253.35234386507585,True
1,191,723,2021-05-01,2021-05-31,139.625,105.0,False
4,898,736,2021-05-01,2021-05-31,482.4166666666667,244.25,False
4,898,681,2021-04-09,2021-04-30,1064.25,423.5,False
1,723,638,2021-04-15,2021-04-30,749.857061555015,302.8954605683732,True
4,266,529,2021-05-01,2021-05-31,548.0833333333333,231.25,False
2,736,912,2021-05-01,2021-05-31,267.75,223.75,False
4,764,587,2021-04-13,2021-04-30,1120.25,337.5,False
4,781,587,2021-05-01,2021-05-31,831.3333333333334,419.5,False
4,736,54,2021-05-01,2021-05-31,795.8333333333334,414.5,False
1,266,529,2021-05-01,2021-05-31,284.54166666666663,186.25,False
2,266,587,2021-05-01,2021-05-31,809.1666666666666,408.5,False
1,796,218,2021-04-01,2021-06-30,901.5,302.0,False
1,723,54,2021-05-01,2021-05-31,751.1666666666666,406.0,False
2,266,218,2021-05-01,2021-05-31,812.0,395.5,False
4,781,681,2021-05-01,2021-05-31,823.5,419.0,False
1,764,529,2021-05-01,2021-05-31,285.95833333333337,181.0,False
4,218,688,2021-04-01,2021-04-30,268.5133333333333,174.3,True
4,191,218,2021-04-09,2021-04-30,1054.75,404.5,False
1,796,587,2021-04-13,2021-04-30,858.25,304.0,False
1,736,504,2021-05-01,2021-05-31,901.6666666666666,345.5,False
4,585,587,2021-04-15,2021-04-30,880.8261247928194,268.1934284499347,True
1,781,54,2021-05-01,2021-05-31,727.8333333333334,331.0,False
1,218,736,2021-04-01,2021-04-30,356.5,356.5,False
1,781,504,2021-05-01,2021-05-31,897.5,330.5,False
1,912,736,2021-05-01,2021-05-31,273.20833333333337,200.0,False
4,529,898,2021-05-01,2021-05-31,317.70833333333337,251.5,False
2,688,585,2021-05-01,2021-05-31,480.625,237.5,False
4,585,688,2021-05-01,2021-05-31,310.625,230.75,False
2,764,308,2021-05-01,2021-05-14,698.2729797979798,138.95454545454547,False
2,191,587,2021-03-01,2021-03-14,881.9500956708398,256.70160810005956,True
4,806,587,2021-03-15,2021-03-31,911.4709183673468,271.39285714285717,True
4,898,587,2021-03-15,2021-03-31,918.2141534391535,301.80555555555554,True
1,266,638,2021-03-01,2021-03-14,722.054880952381,204.575,True
